,Can,Laf,Lag,Dep,Sak,Eas,Rup,GOG,Out,Man,Tou
110,206.5789474,91.49375,195.3,179.1428571,11.35142857,274.9,730.0952381,76.54,235.0633158,346.2116023,141.2541151
111,206.5789474,91.49375,195.3,179.1428571,11.35142857,274.9,730.0952381,76.54,235.0633158,346.2116023,141.2541151
112,206.5789474,91.49375,195.3,179.1428571,11.35142857,274.9,730.0952381,76.54,235.0633158,346.2116023,141.2541151
113,206.5789474,91.49375,195.3,179.1428571,11.35142857,274.9,730.0952381,76.54,235.0633158,346.2116023,141.2541151
114,206.5789474,91.49375,195.3,179.1428571,11.35142857,274.9,730.0952381,76.54,235.0633158,346.2116023,141.2541151
115,206.5789474,91.49375,195.3,179.1428571,11.35142857,274.9,730.0952381,76.54,235.0633158,346.2116023,141.2541151
116,206.5789474,91.49375,195.3,179.1428571,11.35142857,274.9,730.0952381,76.54,235.0633158,346.2116023,141.2541151
117,206.5789474,91.49375,195.3,179.1428571,11.35142857,274.9,730.0952381,76.54,235.0633158,346.2116023,141.2541151
118,206.5789474,91.49375,195.3,179.1428571,11.35142857,274.9,730.0952381,76.54,235.0633158,346.2116023,141.2541151
119,206.5789474,91.49375,195.3,179.1428571,11.35142857,274.9,730.0952381,76.54,235.0633158,346.2116023,141.2541151
120,206.5789474,91.49375,195.3,179.1428571,11.35142857,274.9,730.0952381,76.54,235.0633158,346.2116023,141.2541151
121,203.6842105,90.3,193.4,176.5238095,11.06571429,270.85,724.952381,75.0775,235.8469359,325.4877408,141.8502825
122,203.6842105,90.3,193.4,176.5238095,11.06571429,270.85,724.952381,75.0775,235.8469359,325.4877408,141.8502825
123,203.6842105,90.3,193.4,176.5238095,11.06571429,270.85,724.952381,75.0775,235.8469359,325.4877408,141.8502825
124,203.6842105,90.3,193.4,176.5238095,11.06571429,270.85,724.952381,75.0775,235.8469359,325.4877408,141.8502825
125,203.6842105,90.3,193.4,176.5238095,11.06571429,270.85,724.952381,75.0775,235.8469359,325.4877408,141.8502825
126,203.6842105,90.3,193.4,176.5238095,11.06571429,270.85,724.952381,75.0775,235.8469359,325.4877408,141.8502825
127,203.6842105,90.3,193.4,176.5238095,11.06571429,270.85,724.952381,75.0775,235.8469359,325.4877408,141.8502825
